Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
gut,left palm,16,999,14.497106450401704,0.001,0.0015
gut,right palm,17,999,8.052969398531118,0.002,0.0024
gut,tongue,17,999,33.08357660816979,0.001,0.0015
left palm,right palm,17,999,0.7496428702961788,0.643,0.643
left palm,tongue,17,999,12.921671426778335,0.001,0.0015
right palm,tongue,18,999,8.048043711482569,0.001,0.0015
