Group 1,Group 2,H,p-value,q-value
gut (n=8),left palm (n=8),3.1875,0.07420341132975534,0.11130511699463302
gut (n=8),right palm (n=9),1.5648148148148167,0.2109616290358561,0.25315395484302733
gut (n=8),tongue (n=9),4.898148148148152,0.026885511853408057,0.053771023706816114
left palm (n=8),right palm (n=9),0.23148148148148096,0.6304275015358908,0.6304275015358908
left palm (n=8),tongue (n=9),10.703703703703695,0.0010692127549193759,0.006415276529516256
right palm (n=9),tongue (n=9),6.333333333333329,0.011848940928347505,0.035546822785042516
