Df	SumOfSqs	R2	F	Pr(>F)
body_site	3	5.16156306380558	0.418411146708536	7.19427726890853	0.001
Residual	30	7.17454008356375	0.581588853291464	NA	NA
Total	33	12.3361031473693	1	NA	NA
