index,Bacteria,Archaea,Eukaryota
gut,8.000000000000004,0.0,0.0
left palm,7.999321804001356,0.0,0.0006781959986436081
right palm,8.997961012121621,0.0013772475011904423,0.000661740377192015
tongue,9.000000000000004,0.0,0.0
