index,Bacteria;Bacillota,Bacteria;Pseudomonadota,Bacteria;Actinomycetota,Bacteria;Patescibacteria,Bacteria;Bdellovibrionota,Bacteria;Bacteroidota,Bacteria;Thermodesulfobacteriota,Bacteria;Campylobacterota,Bacteria;Fusobacteriota,Bacteria;Planctomycetota,Bacteria;,Bacteria;Myxococcota,Bacteria;Deinococcota,Bacteria;Verrucomicrobiota,Bacteria;Spirochaetota,Bacteria;Cyanobacteriota,Bacteria;Chloroflexota,Bacteria;Synergistota,Archaea;Thermoproteota,Bacteria;Acidobacteriota,Bacteria;Rhodothermota,Eukaryota;,Bacteria;Abditibacteriota
gut,2.7821336799042102,0.1361684632774707,0.0016925304504964438,0.0,0.0,4.903339835361807,0.057524870337046966,0.0,0.004411196995885135,0.0,0.0,0.0,0.0,0.1147294236730823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left palm,2.723863657196786,2.705458675357557,1.2495929376707757,0.005467941132159638,0.0,0.7272598878658965,0.0016868621265224927,0.03444125787135025,0.48812689531783443,0.0,0.03310486682985821,0.0013563919972872161,0.0029269375195571014,0.0022682715141909117,0.012983831455169034,0.0,0.001017293997965412,0.009309162175404215,0.0,0.0,0.0,0.0006781959986436081,0.0004569339730408956
right palm,3.004674242164426,2.4058926308541517,1.3549550536115162,0.0008233670385204672,0.00022058012573067168,1.8870861255658131,0.03448996655518395,0.007501493382364128,0.24410497953689253,0.0011969924355645797,0.01299586738783765,0.0003308701885960075,0.008066662483327738,0.026673961266918473,0.0026850155314823944,0.00022058012573067168,0.0007720304400573508,0.0027635619242579327,0.0013772475011904423,0.002176161314650999,0.0003308701885960075,0.000661740377192015,0.0
tongue,2.3615101277590536,3.742815522037437,0.39759401703657576,0.00028392958546280523,0.0,1.4620545911091485,0.0,0.08052474785014326,0.9552170646221793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
