Df	SumOfSqs	R2	F	Pr(>F)
body_site	3	3.45659962624782	0.49125240123598	9.65611243039683	0.001
Residual	30	3.5797010972725	0.50874759876402	NA	NA
Total	33	7.03630072352032	1	NA	NA
