Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
L2S309	(1.0, 9.830508474576272)	(2.0, 3.754889178617992)	(3.0, 2.1121251629726205)	(4.0, 2.0860495436766624)	(5.0, 1.303780964797914)	(6.0, 1.4080834419817472)	(7.0, 1.2777053455019556)	(8.0, 0.6258148631029987)	(9.0, 0.7040417209908736)	('>10', 17.366362451108213)	('>50', 10.847457627118644)	('>100', 20.990873533246415)	('>500', 0.0)	('>1k', 27.692307692307693)	('>5k', 0.0)	('>10k+', 0.0)
L2S357	(1.0, 8.619862466016311)	(2.0, 3.13449544218775)	(3.0, 2.302894610586918)	(4.0, 1.0874780105549335)	(5.0, 1.0395010395010396)	(6.0, 0.6716775947545178)	(7.0, 1.3433551895090357)	(8.0, 1.023508715816408)	(9.0, 0.28786182632336477)	('>10', 7.132576363345594)	('>50', 7.30849192387654)	('>100', 32.81624820086358)	('>500', 11.38653446345754)	('>1k', 21.845514153206462)	('>5k', 0.0)	('>10k+', 0.0)
L2S382	(1.0, 8.817204301075268)	(2.0, 2.860215053763441)	(3.0, 1.129032258064516)	(4.0, 1.2473118279569892)	(5.0, 0.6451612903225806)	(6.0, 0.1935483870967742)	(7.0, 0.8279569892473119)	(8.0, 0.34408602150537637)	(9.0, 0.2903225806451613)	('>10', 10.913978494623656)	('>50', 16.365591397849464)	('>100', 40.795698924731184)	('>500', 15.56989247311828)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
L3S242	(1.0, 7.104622871046229)	(2.0, 1.9464720194647203)	(3.0, 2.18978102189781)	(4.0, 1.167883211678832)	(5.0, 0.7299270072992701)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.38929440389294406)	(9.0, 0.0)	('>10', 8.953771289537713)	('>50', 7.785888077858881)	('>100', 0.0)	('>500', 69.73236009732359)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
L3S294	(1.0, 13.465688390159688)	(2.0, 2.416918429003021)	(3.0, 2.589555459646094)	(4.0, 1.5537332757876565)	(5.0, 1.294777729823047)	(6.0, 1.5537332757876565)	(7.0, 0.3021148036253776)	(8.0, 1.3810962451445836)	(9.0, 1.1652999568407425)	('>10', 18.64479930945188)	('>50', 5.783340526542943)	('>100', 49.848942598187314)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
L3S313	(1.0, 12.83851554663992)	(2.0, 3.009027081243731)	(3.0, 4.212637913741224)	(4.0, 1.0030090270812437)	(5.0, 1.7552657973921766)	(6.0, 1.5045135406218655)	(7.0, 1.4042126379137412)	(8.0, 2.0060180541624875)	(9.0, 0.9027081243731194)	('>10', 15.747241725175526)	('>50', 9.929789368104313)	('>100', 45.687061183550654)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
L3S341	(1.0, 14.139233675121424)	(2.0, 3.9935240151106313)	(3.0, 2.1046950890447924)	(4.0, 3.453858607663249)	(5.0, 2.1586616297895307)	(6.0, 2.914193200215866)	(7.0, 0.7555315704263357)	(8.0, 2.1586616297895307)	(9.0, 0.9713977334052887)	('>10', 17.215326497571507)	('>50', 21.640582838640043)	('>100', 28.494333513221804)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
L3S360	(1.0, 15.163147792706333)	(2.0, 4.894433781190019)	(3.0, 4.174664107485604)	(4.0, 2.3032629558541267)	(5.0, 1.9193857965451053)	(6.0, 1.4395393474088292)	(7.0, 0.33589251439539347)	(8.0, 0.7677543186180422)	(9.0, 3.45489443378119)	('>10', 27.20729366602687)	('>50', 17.08253358925144)	('>100', 21.257197696737045)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
L3S378	(1.0, 7.1295433364398875)	(2.0, 3.727865796831314)	(3.0, 1.3979496738117427)	(4.0, 1.6775396085740912)	(5.0, 1.1649580615097856)	(6.0, 0.5591798695246971)	(7.0, 1.30475302889096)	(8.0, 0.3727865796831314)	(9.0, 0.0)	('>10', 12.674743709226469)	('>50', 3.401677539608574)	('>100', 11.136999068033552)	('>500', 0.0)	('>1k', 55.452003727865794)	('>5k', 0.0)	('>10k+', 0.0)
L4S112	(1.0, 5.564094681832154)	(2.0, 2.090378112511528)	(3.0, 1.6415616354134646)	(4.0, 1.155856132800492)	(5.0, 1.0759299108515217)	(6.0, 0.7377805102981863)	(7.0, 0.6885951429449738)	(8.0, 0.6885951429449738)	(9.0, 0.49800184445127577)	('>10', 8.453735013833384)	('>50', 5.840762373193975)	('>100', 15.149093144789424)	('>500', 15.856132800491855)	('>1k', 40.55948355364279)	('>5k', 0.0)	('>10k+', 0.0)
L4S137	(1.0, 4.779900995369138)	(2.0, 1.7352424548890188)	(3.0, 1.2136051524990685)	(4.0, 0.8942353755256295)	(5.0, 0.7185819981902379)	(6.0, 0.3193697769734391)	(7.0, 0.5216373023899504)	(8.0, 0.4258263692979188)	(9.0, 0.335338265822111)	('>10', 7.457284292329803)	('>50', 5.764624474370575)	('>100', 24.64470112311705)	('>500', 7.712780113908554)	('>1k', 43.47687230531751)	('>5k', 0.0)	('>10k+', 0.0)
L4S63	(1.0, 6.238713811382303)	(2.0, 2.749461175511155)	(3.0, 1.5553096056387254)	(4.0, 1.398031106192113)	(5.0, 0.7281412011417254)	(6.0, 0.8737694413700705)	(7.0, 0.4893108871672395)	(8.0, 0.41940933185763385)	(9.0, 0.7863924972330634)	('>10', 9.669715151162112)	('>50', 9.22118017125881)	('>100', 29.842138987592477)	('>500', 18.786042989456515)	('>1k', 17.242383643036057)	('>5k', 0.0)	('>10k+', 0.0)
L5S104	(1.0, 6.184971098265896)	(2.0, 2.8901734104046244)	(3.0, 1.560693641618497)	(4.0, 0.46242774566473993)	(5.0, 0.4335260115606936)	(6.0, 0.3468208092485549)	(7.0, 0.0)	(8.0, 0.6936416184971098)	(9.0, 0.26011560693641617)	('>10', 3.1502890173410405)	('>50', 5.8381502890173405)	('>100', 59.59537572254335)	('>500', 18.583815028901736)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
L5S155	(1.0, 7.62745885186672)	(2.0, 1.846647932557206)	(3.0, 0.4817342432757929)	(4.0, 1.1240465676435167)	(5.0, 0.40144520272982737)	(6.0, 0.24086712163789645)	(7.0, 0.8430349257326376)	(8.0, 0.3211561621838619)	(9.0, 0.0)	('>10', 8.06904857486953)	('>50', 2.448815736651947)	('>100', 53.59293456443196)	('>500', 23.00281011641911)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
L5S174	(1.0, 6.51862464183381)	(2.0, 2.722063037249284)	(3.0, 0.8595988538681949)	(4.0, 0.8595988538681949)	(5.0, 1.2535816618911173)	(6.0, 1.2893982808022924)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.3223495702005731)	('>10', 4.871060171919771)	('>50', 15.365329512893982)	('>100', 34.742120343839545)	('>500', 31.196275071633238)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
L5S203	(1.0, 7.211063549555482)	(2.0, 1.975633849193283)	(3.0, 2.074415541652947)	(4.0, 1.1853803095159698)	(5.0, 0.658544616397761)	(6.0, 0.5926901547579849)	(7.0, 0.4609812314784327)	(8.0, 0.0)	(9.0, 0.0)	('>10', 8.231807704972011)	('>50', 4.9390846229832075)	('>100', 72.67039841949293)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
L5S222	(1.0, 6.519174041297935)	(2.0, 2.0648967551622417)	(3.0, 2.2123893805309733)	(4.0, 0.8259587020648967)	(5.0, 0.5899705014749262)	(6.0, 0.17699115044247787)	(7.0, 0.41297935103244837)	(8.0, 0.471976401179941)	(9.0, 0.5309734513274336)	('>10', 6.932153392330384)	('>50', 5.2507374631268435)	('>100', 74.0117994100295)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
L5S240	(1.0, 7.542213883677299)	(2.0, 2.476547842401501)	(3.0, 0.900562851782364)	(4.0, 1.050656660412758)	(5.0, 0.18761726078799248)	(6.0, 0.225140712945591)	(7.0, 0.7879924953095686)	(8.0, 0.300187617260788)	(9.0, 0.6754221388367729)	('>10', 5.553470919324578)	('>50', 11.519699812382738)	('>100', 46.04127579737336)	('>500', 22.73921200750469)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
L6S20	(1.0, 3.8465473145780047)	(2.0, 1.5345268542199488)	(3.0, 0.8900255754475703)	(4.0, 0.7365728900255755)	(5.0, 0.40920716112531963)	(6.0, 0.7365728900255755)	(7.0, 0.42966751918158563)	(8.0, 0.3273657289002558)	(9.0, 0.36828644501278773)	('>10', 2.680306905370844)	('>50', 9.023017902813299)	('>100', 23.202046035805626)	('>500', 6.67007672634271)	('>1k', 49.14578005115089)	('>5k', 0.0)	('>10k+', 0.0)
L6S68	(1.0, 4.469332216872514)	(2.0, 2.0514967552857444)	(3.0, 1.3188193426836927)	(4.0, 0.9210801758425791)	(5.0, 0.5233410090014654)	(6.0, 0.8164119740422859)	(7.0, 0.5861419300816412)	(8.0, 0.16746912288046892)	(9.0, 0.0)	('>10', 2.9097760100481476)	('>50', 4.312329914172074)	('>100', 14.936152396901822)	('>500', 29.01402553904124)	('>1k', 37.97362361314632)	('>5k', 0.0)	('>10k+', 0.0)
L6S93	(1.0, 4.161490683229814)	(2.0, 1.5616681455190773)	(3.0, 1.1180124223602486)	(4.0, 0.6743566992014197)	(5.0, 0.6654835847382431)	(6.0, 0.26619343389529726)	(7.0, 0.37267080745341613)	(8.0, 0.354924578527063)	(9.0, 0.23957409050576756)	('>10', 3.6734693877551026)	('>50', 2.386867790594499)	('>100', 11.561668145519077)	('>500', 29.902395740905057)	('>1k', 43.06122448979592)	('>5k', 0.0)	('>10k+', 0.0)
