Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
L2S222	(3.0, 1.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 2.0)	(16.0, 21.0)	(17.0, 36.0)	(18.0, 108.0)	(19.0, 197.0)	(20.0, 290.0)	(21.0, 330.0)	(22.0, 463.0)	(23.0, 557.0)	(24.0, 627.0)	(25.0, 714.0)	(26.0, 724.0)	(27.0, 829.0)	(28.0, 773.0)	(29.0, 781.0)	(30.0, 686.0)	(31.0, 505.0)	(32.0, 325.0)	(33.0, 177.0)	(34.0, 150.0)	(35.0, 67.0)	(36.0, 20.0)	(37.0, 2.0)
L2S240	(13.0, 1.0)	(14.0, 3.0)	(15.0, 7.0)	(16.0, 28.0)	(17.0, 70.0)	(18.0, 160.0)	(19.0, 234.0)	(20.0, 357.0)	(21.0, 454.0)	(22.0, 566.0)	(23.0, 687.0)	(24.0, 750.0)	(25.0, 897.0)	(26.0, 1039.0)	(27.0, 1187.0)	(28.0, 1337.0)	(29.0, 1174.0)	(30.0, 1085.0)	(31.0, 860.0)	(32.0, 439.0)	(33.0, 307.0)	(34.0, 248.0)	(35.0, 88.0)	(36.0, 8.0)											
L2S309	(14.0, 1.0)	(15.0, 2.0)	(16.0, 10.0)	(17.0, 23.0)	(18.0, 58.0)	(19.0, 99.0)	(20.0, 171.0)	(21.0, 230.0)	(22.0, 272.0)	(23.0, 327.0)	(24.0, 286.0)	(25.0, 278.0)	(26.0, 289.0)	(27.0, 264.0)	(28.0, 338.0)	(29.0, 321.0)	(30.0, 314.0)	(31.0, 204.0)	(32.0, 135.0)	(33.0, 92.0)	(34.0, 71.0)	(35.0, 44.0)	(36.0, 5.0)	(37.0, 1.0)											
L2S357	(9.0, 1.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 3.0)	(16.0, 18.0)	(17.0, 40.0)	(18.0, 116.0)	(19.0, 192.0)	(20.0, 318.0)	(21.0, 384.0)	(22.0, 451.0)	(23.0, 484.0)	(24.0, 487.0)	(25.0, 431.0)	(26.0, 457.0)	(27.0, 515.0)	(28.0, 530.0)	(29.0, 509.0)	(30.0, 496.0)	(31.0, 352.0)	(32.0, 197.0)	(33.0, 135.0)	(34.0, 86.0)	(35.0, 43.0)	(36.0, 8.0)							
L2S382	(3.0, 1.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 7.0)	(16.0, 26.0)	(17.0, 54.0)	(18.0, 135.0)	(19.0, 270.0)	(20.0, 353.0)	(21.0, 468.0)	(22.0, 552.0)	(23.0, 590.0)	(24.0, 700.0)	(25.0, 678.0)	(26.0, 656.0)	(27.0, 763.0)	(28.0, 751.0)	(29.0, 785.0)	(30.0, 798.0)	(31.0, 651.0)	(32.0, 435.0)	(33.0, 288.0)	(34.0, 209.0)	(35.0, 107.0)	(36.0, 22.0)	(37.0, 1.0)
L3S242	(15.0, 1.0)	(16.0, 2.0)	(17.0, 7.0)	(18.0, 22.0)	(19.0, 36.0)	(20.0, 69.0)	(21.0, 164.0)	(22.0, 87.0)	(23.0, 145.0)	(24.0, 119.0)	(25.0, 112.0)	(26.0, 134.0)	(27.0, 127.0)	(28.0, 123.0)	(29.0, 144.0)	(30.0, 180.0)	(31.0, 226.0)	(32.0, 207.0)	(33.0, 116.0)	(34.0, 25.0)	(35.0, 9.0)														
L3S294	(12.0, 1.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 5.0)	(18.0, 15.0)	(19.0, 26.0)	(20.0, 46.0)	(21.0, 57.0)	(22.0, 58.0)	(23.0, 87.0)	(24.0, 131.0)	(25.0, 164.0)	(26.0, 148.0)	(27.0, 172.0)	(28.0, 199.0)	(29.0, 226.0)	(30.0, 281.0)	(31.0, 284.0)	(32.0, 169.0)	(33.0, 88.0)	(34.0, 102.0)	(35.0, 47.0)	(36.0, 6.0)	(37.0, 2.0)									
L3S313	(16.0, 3.0)	(17.0, 5.0)	(18.0, 16.0)	(19.0, 19.0)	(20.0, 47.0)	(21.0, 47.0)	(22.0, 57.0)	(23.0, 75.0)	(24.0, 96.0)	(25.0, 98.0)	(26.0, 128.0)	(27.0, 131.0)	(28.0, 184.0)	(29.0, 184.0)	(30.0, 248.0)	(31.0, 217.0)	(32.0, 159.0)	(33.0, 114.0)	(34.0, 80.0)	(35.0, 69.0)	(36.0, 15.0)	(37.0, 2.0)													
L3S341	(12.0, 1.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 3.0)	(18.0, 10.0)	(19.0, 22.0)	(20.0, 27.0)	(21.0, 48.0)	(22.0, 54.0)	(23.0, 63.0)	(24.0, 93.0)	(25.0, 100.0)	(26.0, 125.0)	(27.0, 152.0)	(28.0, 207.0)	(29.0, 192.0)	(30.0, 217.0)	(31.0, 223.0)	(32.0, 144.0)	(33.0, 80.0)	(34.0, 56.0)	(35.0, 28.0)	(36.0, 5.0)	(37.0, 2.0)									
L3S360	(13.0, 1.0)	(14.0, 3.0)	(15.0, 2.0)	(16.0, 3.0)	(17.0, 5.0)	(18.0, 12.0)	(19.0, 25.0)	(20.0, 30.0)	(21.0, 46.0)	(22.0, 81.0)	(23.0, 78.0)	(24.0, 114.0)	(25.0, 153.0)	(26.0, 135.0)	(27.0, 166.0)	(28.0, 220.0)	(29.0, 214.0)	(30.0, 239.0)	(31.0, 212.0)	(32.0, 143.0)	(33.0, 86.0)	(34.0, 65.0)	(35.0, 39.0)	(36.0, 11.0)	(37.0, 1.0)										
L3S378	(14.0, 1.0)	(15.0, 0.0)	(16.0, 4.0)	(17.0, 7.0)	(18.0, 13.0)	(19.0, 20.0)	(20.0, 31.0)	(21.0, 44.0)	(22.0, 29.0)	(23.0, 59.0)	(24.0, 68.0)	(25.0, 99.0)	(26.0, 129.0)	(27.0, 142.0)	(28.0, 243.0)	(29.0, 214.0)	(30.0, 278.0)	(31.0, 336.0)	(32.0, 262.0)	(33.0, 125.0)	(34.0, 25.0)	(35.0, 16.0)	(36.0, 1.0)												
L4S112	(14.0, 1.0)	(15.0, 3.0)	(16.0, 16.0)	(17.0, 91.0)	(18.0, 158.0)	(19.0, 310.0)	(20.0, 435.0)	(21.0, 581.0)	(22.0, 716.0)	(23.0, 868.0)	(24.0, 970.0)	(25.0, 1070.0)	(26.0, 1000.0)	(27.0, 1280.0)	(28.0, 1356.0)	(29.0, 1454.0)	(30.0, 1729.0)	(31.0, 1590.0)	(32.0, 1034.0)	(33.0, 619.0)	(34.0, 564.0)	(35.0, 339.0)	(36.0, 77.0)	(37.0, 4.0)											
L4S137	(11.0, 1.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 9.0)	(16.0, 32.0)	(17.0, 82.0)	(18.0, 192.0)	(19.0, 363.0)	(20.0, 509.0)	(21.0, 634.0)	(22.0, 754.0)	(23.0, 935.0)	(24.0, 1082.0)	(25.0, 1244.0)	(26.0, 1222.0)	(27.0, 1416.0)	(28.0, 1555.0)	(29.0, 1838.0)	(30.0, 2002.0)	(31.0, 1880.0)	(32.0, 1149.0)	(33.0, 753.0)	(34.0, 689.0)	(35.0, 371.0)	(36.0, 70.0)	(37.0, 3.0)								
L4S63	(15.0, 5.0)	(16.0, 21.0)	(17.0, 60.0)	(18.0, 114.0)	(19.0, 228.0)	(20.0, 391.0)	(21.0, 439.0)	(22.0, 561.0)	(23.0, 690.0)	(24.0, 836.0)	(25.0, 1005.0)	(26.0, 1057.0)	(27.0, 1088.0)	(28.0, 1335.0)	(29.0, 1442.0)	(30.0, 1681.0)	(31.0, 1749.0)	(32.0, 1428.0)	(33.0, 948.0)	(34.0, 787.0)	(35.0, 848.0)	(36.0, 403.0)	(37.0, 50.0)	(38.0, 1.0)											
L5S104	(15.0, 2.0)	(16.0, 6.0)	(17.0, 7.0)	(18.0, 20.0)	(19.0, 30.0)	(20.0, 50.0)	(21.0, 78.0)	(22.0, 70.0)	(23.0, 86.0)	(24.0, 134.0)	(25.0, 156.0)	(26.0, 195.0)	(27.0, 182.0)	(28.0, 238.0)	(29.0, 300.0)	(30.0, 354.0)	(31.0, 401.0)	(32.0, 412.0)	(33.0, 282.0)	(34.0, 177.0)	(35.0, 174.0)	(36.0, 95.0)	(37.0, 11.0)												
L5S155	(8.0, 1.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 2.0)	(16.0, 2.0)	(17.0, 7.0)	(18.0, 15.0)	(19.0, 16.0)	(20.0, 24.0)	(21.0, 29.0)	(22.0, 33.0)	(23.0, 59.0)	(24.0, 64.0)	(25.0, 99.0)	(26.0, 91.0)	(27.0, 119.0)	(28.0, 135.0)	(29.0, 173.0)	(30.0, 230.0)	(31.0, 325.0)	(32.0, 372.0)	(33.0, 262.0)	(34.0, 187.0)	(35.0, 154.0)	(36.0, 90.0)	(37.0, 1.0)					
L5S174	(16.0, 8.0)	(17.0, 5.0)	(18.0, 11.0)	(19.0, 25.0)	(20.0, 34.0)	(21.0, 43.0)	(22.0, 46.0)	(23.0, 59.0)	(24.0, 78.0)	(25.0, 109.0)	(26.0, 138.0)	(27.0, 147.0)	(28.0, 202.0)	(29.0, 224.0)	(30.0, 289.0)	(31.0, 373.0)	(32.0, 362.0)	(33.0, 264.0)	(34.0, 165.0)	(35.0, 139.0)	(36.0, 66.0)	(37.0, 5.0)													
L5S203	(7.0, 1.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 1.0)	(15.0, 0.0)	(16.0, 5.0)	(17.0, 8.0)	(18.0, 18.0)	(19.0, 21.0)	(20.0, 39.0)	(21.0, 48.0)	(22.0, 57.0)	(23.0, 59.0)	(24.0, 91.0)	(25.0, 130.0)	(26.0, 142.0)	(27.0, 155.0)	(28.0, 163.0)	(29.0, 213.0)	(30.0, 239.0)	(31.0, 341.0)	(32.0, 408.0)	(33.0, 325.0)	(34.0, 197.0)	(35.0, 243.0)	(36.0, 116.0)	(37.0, 16.0)				
L5S222	(6.0, 2.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 3.0)	(17.0, 7.0)	(18.0, 14.0)	(19.0, 27.0)	(20.0, 40.0)	(21.0, 26.0)	(22.0, 45.0)	(23.0, 64.0)	(24.0, 82.0)	(25.0, 108.0)	(26.0, 123.0)	(27.0, 144.0)	(28.0, 170.0)	(29.0, 228.0)	(30.0, 309.0)	(31.0, 370.0)	(32.0, 423.0)	(33.0, 352.0)	(34.0, 298.0)	(35.0, 295.0)	(36.0, 222.0)	(37.0, 36.0)			
L5S240	(16.0, 1.0)	(17.0, 8.0)	(18.0, 8.0)	(19.0, 20.0)	(20.0, 24.0)	(21.0, 38.0)	(22.0, 39.0)	(23.0, 45.0)	(24.0, 68.0)	(25.0, 82.0)	(26.0, 125.0)	(27.0, 116.0)	(28.0, 151.0)	(29.0, 246.0)	(30.0, 226.0)	(31.0, 284.0)	(32.0, 352.0)	(33.0, 275.0)	(34.0, 204.0)	(35.0, 197.0)	(36.0, 138.0)	(37.0, 18.0)													
L6S20	(14.0, 1.0)	(15.0, 0.0)	(16.0, 7.0)	(17.0, 30.0)	(18.0, 28.0)	(19.0, 63.0)	(20.0, 81.0)	(21.0, 130.0)	(22.0, 164.0)	(23.0, 183.0)	(24.0, 239.0)	(25.0, 367.0)	(26.0, 368.0)	(27.0, 482.0)	(28.0, 556.0)	(29.0, 750.0)	(30.0, 810.0)	(31.0, 1119.0)	(32.0, 1242.0)	(33.0, 1047.0)	(34.0, 815.0)	(35.0, 802.0)	(36.0, 456.0)	(37.0, 35.0)											
L6S68	(15.0, 4.0)	(16.0, 10.0)	(17.0, 22.0)	(18.0, 43.0)	(19.0, 104.0)	(20.0, 131.0)	(21.0, 174.0)	(22.0, 193.0)	(23.0, 243.0)	(24.0, 333.0)	(25.0, 384.0)	(26.0, 490.0)	(27.0, 558.0)	(28.0, 701.0)	(29.0, 912.0)	(30.0, 953.0)	(31.0, 1175.0)	(32.0, 1150.0)	(33.0, 749.0)	(34.0, 561.0)	(35.0, 488.0)	(36.0, 166.0)	(37.0, 10.0)												
L6S93	(14.0, 1.0)	(15.0, 8.0)	(16.0, 10.0)	(17.0, 49.0)	(18.0, 73.0)	(19.0, 128.0)	(20.0, 172.0)	(21.0, 212.0)	(22.0, 251.0)	(23.0, 264.0)	(24.0, 398.0)	(25.0, 468.0)	(26.0, 529.0)	(27.0, 742.0)	(28.0, 862.0)	(29.0, 1096.0)	(30.0, 1270.0)	(31.0, 1386.0)	(32.0, 1259.0)	(33.0, 884.0)	(34.0, 604.0)	(35.0, 479.0)	(36.0, 123.0)	(37.0, 2.0)											
