Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
L2S204	(1, 0.8085514595039056)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.013704262025489926)	(6, 0.0)	(7, 0.0)	(8, 0.10963409620391941)	(9, 0.0)	(10, 0.0)	(15, 0.008222557215293956)	(20, 0.0027408524050979858)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0027408524050979858)	(85, 0.06303960531725367)	(90, 0.09044812936823353)	(95, 0.049335343291763735)	(100, 0.0)	(105, 0.013704262025489926)	(110, 0.06029875291215568)	(115, 0.0575579005070577)	(120, 0.10689324379882144)	(125, 0.016445114430587913)	(130, 0.07674386734274359)	(135, 0.08770727696313554)	(140, 0.06303960531725367)	(145, 0.016445114430587913)	(150, 0.054817048101959705)
L2S222	(1, 0.667779632721202)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.08347245409015025)	(9, 0.0)	(10, 0.0)	(15, 0.011924636298592892)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0023849272597185785)	(85, 0.04292869067493441)	(90, 0.07393274505127594)	(95, 0.038158836155497255)	(100, 0.0)	(105, 0.009539709038874314)	(110, 0.038158836155497255)	(115, 0.050083472454090144)	(120, 0.1240162175053661)	(125, 0.009539709038874314)	(130, 0.08585738134986882)	(135, 0.08585738134986882)	(140, 0.05485332697352731)	(145, 0.007154781779155735)	(150, 0.03974878766197631)
L2S240	(1, 0.36709494410145166)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.07508760220256966)	(9, 0.0)	(10, 0.0)	(15, 0.006674453529117304)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.003337226764558652)	(70, 0.010011680293675955)	(75, 0.001668613382279326)	(80, 0.006674453529117304)	(85, 0.056732854997497084)	(90, 0.08176205573168696)	(95, 0.048389788086100456)	(100, 0.0)	(105, 0.026697814116469216)	(110, 0.05172701485065911)	(115, 0.06173869514433506)	(120, 0.1368262973469047)	(125, 0.030035040881027868)	(130, 0.09177373602536291)	(135, 0.09177373602536291)	(140, 0.07341898882029034)	(145, 0.026697814116469216)	(150, 0.0695255575949719)
L2S309	(1, 0.8604954367666232)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.1303780964797914)	(9, 0.0)	(10, 0.0)	(15, 0.005215123859191656)	(20, 0.005215123859191656)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.02607561929595828)	(90, 0.03129074315514994)	(95, 0.01564537157757497)	(100, 0.0)	(105, 0.005215123859191656)	(110, 0.02607561929595828)	(115, 0.03650586701434159)	(120, 0.13559322033898305)	(125, 0.020860495436766623)	(130, 0.041720990873533245)	(135, 0.03650586701434159)	(140, 0.041720990873533245)	(145, 0.02607561929595828)	(150, 0.03476749239461104)
L2S357	(1, 0.5277466815928354)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.2079002079002079)	(9, 0.0)	(10, 0.0)	(15, 0.015992323684631375)	(20, 0.0031984647369262755)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.009595394210778827)	(85, 0.09595394210778826)	(90, 0.127938589477051)	(95, 0.07356468894930433)	(100, 0.0031984647369262755)	(105, 0.019190788421557654)	(110, 0.08635854789700943)	(115, 0.11194626579241963)	(120, 0.16312170158324005)	(125, 0.025587717895410204)	(130, 0.11194626579241963)	(135, 0.12154166000319847)	(140, 0.09275547737086198)	(145, 0.04477850631696786)	(150, 0.0693000693000693)
L2S382	(1, 0.4838709677419355)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.08602150537634409)	(9, 0.0)	(10, 0.0)	(15, 0.008602150537634409)	(20, 0.002150537634408602)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.004301075268817204)	(70, 0.010752688172043012)	(75, 0.004301075268817204)	(80, 0.015053763440860216)	(85, 0.07311827956989247)	(90, 0.09892473118279571)	(95, 0.06666666666666667)	(100, 0.021505376344086023)	(105, 0.04086021505376344)	(110, 0.07526881720430108)	(115, 0.08817204301075268)	(120, 0.15268817204301077)	(125, 0.04516129032258064)	(130, 0.08817204301075268)	(135, 0.09462365591397849)	(140, 0.07741935483870968)	(145, 0.049462365591397855)	(150, 0.07168458781362007)
L3S242	(1, 2.0437956204379564)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.04866180048661801)	(6, 0.0)	(7, 0.0)	(8, 0.43795620437956206)	(9, 0.0)	(10, 0.0)	(15, 0.009732360097323601)	(20, 0.009732360097323601)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.009732360097323601)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.009732360097323601)	(150, 0.0)
L3S294	(1, 2.330599913681485)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.5179110919292188)	(9, 0.0)	(10, 0.0)	(15, 0.05179110919292188)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
L3S313	(1, 1.8054162487462388)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.3009027081243731)	(9, 0.0)	(10, 0.0)	(15, 0.020060180541624874)	(20, 0.0)	(25, 0.010030090270812437)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.010030090270812437)	(80, 0.010030090270812437)	(85, 0.0802407221664995)	(90, 0.10030090270812438)	(95, 0.09027081243731193)	(100, 0.06018054162487463)	(105, 0.10030090270812438)	(110, 0.10030090270812438)	(115, 0.10030090270812438)	(120, 0.10030090270812438)	(125, 0.10030090270812438)	(130, 0.10030090270812438)	(135, 0.10030090270812438)	(140, 0.10030090270812438)	(145, 0.10030090270812438)	(150, 0.10030090270812438)
L3S341	(1, 2.536427415002698)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.4317323259579061)	(9, 0.0)	(10, 0.0)	(15, 0.03237992444684296)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.010793308148947653)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.010793308148947653)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.010793308148947653)	(140, 0.0)	(145, 0.0)	(150, 0.0)
