Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
L2S204	(1, 38.194189392901194)	(2, 38.52679183225983)	(3, 38.664519665616005)	(4, 37.74907496231328)	(5, 38.19336713717966)	(6, 38.303275318624095)	(7, 38.406879539536796)	(8, 38.32081677401672)	(9, 37.84061943264355)	(10, 37.54499109222968)	(15, 38.35280252158421)	(20, 38.34244209949294)	(25, 37.97001507468822)	(30, 37.92884747156366)	(35, 37.26468411676031)	(40, 36.81836371111416)	(45, 37.08957105659861)	(50, 36.526380704399074)	(55, 36.712621625325475)	(60, 35.05903796080581)	(65, 34.58262299575168)	(70, 33.456516376593115)	(75, 32.60783883787858)	(80, 32.59172262573661)	(85, 30.571824037275594)	(90, 28.900561874743044)	(95, 25.994436069617656)	(100, 24.79739619021516)	(105, 20.726819240783882)	(110, 19.414690968891325)	(115, 17.052487323557628)	(120, 13.077867616828835)	(125, 10.559873920789366)	(130, 7.4643826229957515)	(135, 4.765958613128683)	(140, 3.284966424558038)	(145, 3.079429902699739)	(150, 3.1148417157736055)
L2S222	(1, 38.17076079179585)	(2, 38.54543286429764)	(3, 38.70558072978774)	(4, 38.303958979251135)	(5, 38.03565466253279)	(6, 38.459694729310755)	(7, 38.53541616980682)	(8, 38.51252086811352)	(9, 37.713450989744814)	(10, 37.533627474362035)	(15, 38.45528261388028)	(20, 38.3906272358693)	(25, 38.00228953016933)	(30, 38.08208919627951)	(35, 37.82098735988553)	(40, 37.31390412592416)	(45, 37.387836870975434)	(50, 36.98764607679466)	(55, 36.593846887669926)	(60, 35.417648461721924)	(65, 34.68256618173145)	(70, 33.70345814452659)	(75, 32.66901979489625)	(80, 32.40455521106607)	(85, 30.58480801335559)	(90, 28.88805151442881)	(95, 25.731743381826856)	(100, 24.039136656331983)	(105, 20.052182208442645)	(110, 17.807989506320055)	(115, 14.959193894586216)	(120, 11.9177915573575)	(125, 9.898449797281184)	(130, 7.0626281898402095)	(135, 4.698473646553779)	(140, 3.264178392559027)	(145, 2.9875029811590745)	(150, 2.970069162890532)
L2S240	(1, 38.314783914566995)	(2, 38.51918905389621)	(3, 38.68121141331554)	(4, 38.53637577173369)	(5, 38.18071082930085)	(6, 38.639329217420325)	(7, 38.47830802603037)	(8, 38.708743534123144)	(9, 37.292758217920905)	(10, 37.14790589020523)	(15, 38.38366427498749)	(20, 38.16384114800601)	(25, 37.93717670615718)	(30, 38.126831303187046)	(35, 37.96037043217087)	(40, 37.412731520106796)	(45, 37.3058568329718)	(50, 37.24905723343901)	(55, 36.663407308526615)	(60, 35.28191223093609)	(65, 34.75861838811947)	(70, 33.58416485900217)	(75, 32.59686300684132)	(80, 32.40320373769397)	(85, 30.98571666944769)	(90, 29.285983647588854)	(95, 26.129551143000164)	(100, 25.22636409144001)	(105, 22.010595694977475)	(110, 20.141898882029032)	(115, 15.872634740530618)	(120, 12.291056232270984)	(125, 10.671099616218923)	(130, 7.556182212581345)	(135, 4.8263474053061906)	(140, 3.39898214583681)	(145, 3.0801768730185213)	(150, 3.061015629345347)
L2S309	(1, 38.427379400260754)	(2, 38.81303780964798)	(3, 38.97131681877445)	(4, 38.50221642764016)	(5, 38.25710560625815)	(6, 38.79113428943938)	(7, 38.61642764015645)	(8, 38.664406779661014)	(9, 37.6380704041721)	(10, 37.822112125162974)	(15, 38.58398956975228)	(20, 38.51640156453716)	(25, 38.13220338983051)	(30, 38.22179921773142)	(35, 37.9328813559322)	(40, 37.51342894393742)	(45, 37.38086049543677)	(50, 37.06080834419818)	(55, 36.94988265971317)	(60, 35.16250325945241)	(65, 34.22764015645371)	(70, 33.43400260756193)	(75, 32.460756192959586)	(80, 31.79181225554107)	(85, 29.40954367666232)	(90, 27.17303780964798)	(95, 23.55859191655802)	(100, 21.061694915254236)	(105, 17.408865710560626)	(110, 16.425345501955672)	(115, 14.271395045632335)	(120, 11.797183833116037)	(125, 9.887509778357236)	(130, 7.106179921773142)	(135, 4.778983050847457)	(140, 3.4138722294654498)	(145, 3.2598174706649283)	(150, 3.229117774880487)
L2S357	(1, 38.38061730369423)	(2, 38.63473532704302)	(3, 38.814968814968815)	(4, 38.37869822485207)	(5, 38.207580361426515)	(6, 38.670558132096595)	(7, 38.588837358068126)	(8, 38.594434671357746)	(9, 37.33967695506157)	(10, 37.567343675035985)	(15, 38.42821045897969)	(20, 38.39792099792099)	(25, 38.08002558771789)	(30, 38.085430993123296)	(35, 37.70007996161842)	(40, 37.17853830161522)	(45, 37.074268351191435)	(50, 36.77636334559412)	(55, 36.652678714217174)	(60, 34.76289780905165)	(65, 34.045802015032784)	(70, 33.34927234927235)	(75, 32.26905485367024)	(80, 31.42987366064289)	(85, 29.043595074364305)	(90, 26.84948024948025)	(95, 22.94319526627219)	(100, 20.934207580361424)	(105, 17.328098512713897)	(110, 16.34527426835119)	(115, 14.263489525027987)	(120, 11.710379018071325)	(125, 9.782920198304813)	(130, 6.886998240844394)	(135, 4.487126179433871)	(140, 3.2619222773068928)	(145, 3.0180713257636334)	(150, 3.003251772482541)
L2S382	(1, 38.421182795698925)	(2, 38.73010752688172)	(3, 38.86075268817204)	(4, 38.49903225806452)	(5, 38.24193548387097)	(6, 38.76913978494623)	(7, 38.06193548387097)	(8, 38.72516129032258)	(9, 37.39075268817204)	(10, 37.32967741935484)	(15, 38.405096774193545)	(20, 38.344365591397846)	(25, 38.010215053763446)	(30, 38.13350537634409)	(35, 37.82978494623656)	(40, 37.33376344086021)	(45, 37.193182795698924)	(50, 36.97694623655914)	(55, 36.295698924731184)	(60, 34.62875268817204)	(65, 34.03163440860215)	(70, 33.141720430107526)	(75, 32.28675268817204)	(80, 32.02096774193548)	(85, 30.331505376344086)	(90, 28.54490322580645)	(95, 25.460795698924734)	(100, 23.591913978494624)	(105, 19.444279569892473)	(110, 18.134021505376346)	(115, 15.811612903225807)	(120, 13.250602150537635)	(125, 11.056043010752687)	(130, 8.157655913978495)	(135, 5.462623655913978)	(140, 3.699354838709678)	(145, 3.327225806451613)	(150, 3.1978494623655913)
L3S242	(1, 38.00778588807786)	(2, 38.88661800486618)	(3, 38.98978102189781)	(4, 38.60729927007299)	(5, 38.71240875912409)	(6, 38.92846715328467)	(7, 38.79902676399027)	(8, 38.82579075425791)	(9, 38.01070559610706)	(10, 38.47416058394161)	(15, 39.17021897810219)	(20, 39.00311435523114)	(25, 38.554257907542585)	(30, 38.95746958637469)	(35, 38.74715328467153)	(40, 38.33099756690997)	(45, 37.98004866180049)	(50, 37.95523114355231)	(55, 37.534306569343066)	(60, 37.16301703163017)	(65, 36.382092457420924)	(70, 35.863065693430656)	(75, 33.35260340632603)	(80, 32.457518248175184)	(85, 28.907834549878345)	(90, 27.570413625304138)	(95, 24.54014598540146)	(100, 23.36165450121654)	(105, 20.87961070559611)	(110, 18.744233576642333)	(115, 16.605839416058394)	(120, 14.36535279805353)	(125, 12.559124087591242)	(130, 8.73177615571776)	(135, 4.58978102189781)	(140, 2.4469099756690995)	(145, 2.3065693430656937)	(150, 2.2759124087591243)
L3S294	(1, 37.74838152783772)	(2, 38.829089339663355)	(3, 38.973241260250326)	(4, 38.431160984031074)	(5, 38.74104445403539)	(6, 38.91109192921882)	(7, 38.76089771255934)	(8, 38.88001726370307)	(9, 38.507552870090635)	(10, 38.31109192921882)	(15, 38.98670694864048)	(20, 38.81985325852395)	(25, 38.54838152783772)	(30, 38.86646525679758)	(35, 38.72231333621062)	(40, 38.28010358221839)	(45, 37.91212775140268)	(50, 37.61993957703927)	(55, 36.85274061286146)	(60, 36.28623219680621)	(65, 35.48364264134657)	(70, 35.12421234354769)	(75, 34.41130772550712)	(80, 33.98049201553734)	(85, 32.65791972378075)	(90, 31.550625809236085)	(95, 28.902460077686662)	(100, 27.701251618472163)	(105, 23.658869227449287)	(110, 21.992490289167023)	(115, 19.28502373759171)	(120, 16.47596029348295)	(125, 13.773500215796286)	(130, 9.88761329305136)	(135, 5.651532153646957)	(140, 4.107984462667242)	(145, 3.832369443245576)	(150, 3.7129909365558915)
L3S313	(1, 37.78585757271816)	(2, 38.53911735205617)	(3, 38.70060180541625)	(4, 38.077733199598796)	(5, 38.012537612838514)	(6, 38.34052156469408)	(7, 38.14543630892678)	(8, 38.29087261785356)	(9, 38.54663991975928)	(10, 38.43340020060181)	(15, 39.145336008024074)	(20, 38.968706118355065)	(25, 38.696790371113345)	(30, 39.04032096288866)	(35, 38.885556670010025)	(40, 38.557171514543626)	(45, 38.224774322968905)	(50, 38.0937813440321)	(55, 37.237111334002)	(60, 36.381544633901704)	(65, 35.96910732196589)	(70, 35.47452357071214)	(75, 34.55867602808425)	(80, 34.402407221664994)	(85, 32.531995987963896)	(90, 31.031394182547643)	(95, 28.6864593781344)	(100, 27.32046138415246)	(105, 23.61544633901705)	(110, 22.244132397191574)	(115, 19.736609829488465)	(120, 17.414543630892677)	(125, 14.60762286860582)	(130, 11.006920762286862)	(135, 6.709227683049147)	(140, 4.715947843530592)	(145, 4.2995987963891675)	(150, 4.225342694750919)
L3S341	(1, 37.82191041554236)	(2, 38.86292498650837)	(3, 38.97625472207231)	(4, 38.49811117107394)	(5, 38.76902320561252)	(6, 38.9077172153265)	(7, 38.81327576902321)	(8, 38.91365353480842)	(9, 38.57204533189422)	(10, 38.430652995143014)	(15, 39.01726929303832)	(20, 38.84230976794388)	(25, 38.52239611440906)	(30, 38.72358337830545)	(35, 38.25526173772262)	(40, 37.958553696708044)	(45, 37.847058823529416)	(50, 37.41575822989746)	(55, 36.55812196438209)	(60, 35.91268213707501)	(65, 35.59222881813276)	(70, 34.7752833243389)	(75, 34.04943335132218)	(80, 34.02536427415002)	(85, 32.17798165137614)	(90, 31.05353480841878)	(95, 28.894117647058824)	(100, 27.576254722072314)	(105, 24.273718294657314)	(110, 22.938909875876956)	(115, 20.68094981111711)	(120, 17.285914732865624)	(125, 14.249541284403671)	(130, 10.2717754991905)	(135, 6.061629789530491)	(140, 3.835941716135996)	(145, 3.4393955747436586)	(150, 3.51753912574204)
