Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
L3S360	(1, 37.78598848368522)	(2, 38.810940499040306)	(3, 38.9337811900192)	(4, 38.47936660268714)	(5, 38.576775431861805)	(6, 38.90115163147793)	(7, 38.81765834932821)	(8, 38.88675623800384)	(9, 38.43282149712092)	(10, 38.389827255278306)	(15, 39.01487523992323)	(20, 38.79856046065259)	(25, 38.4679462571977)	(30, 38.763147792706334)	(35, 38.57562380038388)	(40, 38.2151631477927)	(45, 37.879558541266796)	(50, 37.550479846449136)	(55, 36.619577735124764)	(60, 36.174664107485604)	(65, 35.61151631477927)	(70, 34.94145873320538)	(75, 34.396833013435696)	(80, 34.2257197696737)	(85, 32.53090211132437)	(90, 31.314779270633398)	(95, 28.826199616122842)	(100, 27.19654510556622)	(105, 23.39011516314779)	(110, 21.266602687140114)	(115, 18.788003838771594)	(120, 15.546065259117082)	(125, 12.48570057581574)	(130, 9.10595009596929)	(135, 5.603358925143955)	(140, 3.878214971209213)	(145, 3.5312859884836856)	(150, 3.6022072936660265)
L3S378	(1, 36.90121155638397)	(2, 38.58247903075489)	(3, 38.64445479962721)	(4, 38.689655172413794)	(5, 38.43196644920783)	(6, 38.75629077353215)	(7, 38.75116495806151)	(8, 38.71388630009319)	(9, 37.764678471575024)	(10, 38.33569431500466)	(15, 39.1224603914259)	(20, 38.95330848089469)	(25, 38.47856477166822)	(30, 38.88219944082013)	(35, 38.45163094128612)	(40, 38.12003727865796)	(45, 37.810810810810814)	(50, 37.850046598322464)	(55, 36.89040074557316)	(60, 36.93112767940354)	(65, 36.246039142590874)	(70, 35.7138863000932)	(75, 34.0695246971109)	(80, 34.33699906803355)	(85, 33.17306616961789)	(90, 31.7098788443616)	(95, 30.262068965517244)	(100, 30.005778191985087)	(105, 27.65442684063374)	(110, 24.549487418452937)	(115, 21.415936626281454)	(120, 18.505684995340168)	(125, 15.685181733457593)	(130, 10.413699906803355)	(135, 5.375768872320596)	(140, 2.66551724137931)	(145, 2.4092264678471573)	(150, 2.4032308170239207)
L4S112	(1, 39.0079311404857)	(2, 39.19452812788195)	(3, 39.28029511220412)	(4, 38.91952044266831)	(5, 38.965631724561945)	(6, 39.162127267138025)	(7, 39.093452197971104)	(8, 39.24549646480172)	(9, 38.53089455886874)	(10, 38.61372271749155)	(15, 39.21641561635413)	(20, 38.94171533968644)	(25, 38.77016907470027)	(30, 38.99901629265294)	(35, 38.700940670150636)	(40, 38.388859514294495)	(45, 37.805816169689514)	(50, 37.531226560098375)	(55, 36.622108822625265)	(60, 35.62774054718721)	(65, 35.14188748847217)	(70, 34.73000922225638)	(75, 33.92012296341838)	(80, 33.366062096526285)	(85, 30.997897325545654)	(90, 29.18446972025822)	(95, 26.41609591146634)	(100, 24.76634491238857)	(105, 21.215431909007073)	(110, 19.839372886566245)	(115, 17.486812173378418)	(120, 15.014091607746696)	(125, 12.686578542883492)	(130, 9.363824162311712)	(135, 5.832081155856132)	(140, 4.158905625576392)	(145, 3.8015124500461113)	(150, 3.7788707859411823)
L4S137	(1, 38.86953744610635)	(2, 39.00271464310428)	(3, 39.08330228349391)	(4, 39.09277692021078)	(5, 38.92276574226859)	(6, 39.156437962420824)	(7, 39.0656837174642)	(8, 39.276095172193536)	(9, 38.38888593176132)	(10, 38.316857401394586)	(15, 39.08393037738862)	(20, 38.81280672805663)	(25, 38.62992494810241)	(30, 38.88031085324958)	(35, 38.657486559855215)	(40, 38.309373502954166)	(45, 37.71017192739661)	(50, 37.65143982541119)	(55, 36.496087720232076)	(60, 35.506914355671476)	(65, 35.011837973066484)	(70, 34.326651407888434)	(75, 33.523148986000955)	(80, 33.42595411720871)	(85, 31.322414435513917)	(90, 29.58689519348485)	(95, 27.04010219832863)	(100, 25.718007132591687)	(105, 21.998914142758288)	(110, 20.511012934475968)	(115, 17.72689625805078)	(120, 15.291041677755894)	(125, 12.769468249321339)	(130, 9.310054825145048)	(135, 5.756107946984616)	(140, 4.108734763400223)	(145, 3.722776387927823)	(150, 3.661095438335019)
L4S63	(1, 38.39022543251588)	(2, 38.779868352070835)	(3, 38.907438690510865)	(4, 38.638608959049336)	(5, 38.95881633366342)	(6, 39.09786217743345)	(7, 38.8634589619619)	(8, 39.07916351138813)	(9, 38.67938486631328)	(10, 38.675004368847205)	(15, 39.25600279606222)	(20, 39.000466010368726)	(25, 38.79737869167589)	(30, 39.08463913322071)	(35, 39.00280771247161)	(40, 38.72132579949904)	(45, 38.22976641230267)	(50, 38.13163627890721)	(55, 37.36310362905574)	(60, 36.59956894040892)	(65, 35.98166249199045)	(70, 35.52379565445331)	(75, 34.939278848954395)	(80, 34.59622531601328)	(85, 32.58413234694472)	(90, 31.036616764723014)	(95, 28.4318867594804)	(100, 26.691908894972915)	(105, 23.31601328129551)	(110, 21.77467233645949)	(115, 19.378074212151223)	(120, 16.984237199277686)	(125, 14.632166365701636)	(130, 11.299295159317294)	(135, 7.41534339139046)	(140, 5.4266907438690515)	(145, 4.9769208364886115)	(150, 4.8586241043863225)
L5S104	(1, 38.391040462427746)	(2, 38.94537572254335)	(3, 39.07745664739885)	(4, 38.716473988439304)	(5, 38.936127167630055)	(6, 39.08815028901734)	(7, 38.8242774566474)	(8, 39.07196531791907)	(9, 38.59364161849711)	(10, 38.5792485549133)	(15, 39.253988439306355)	(20, 38.90445086705203)	(25, 38.68167630057803)	(30, 39.03150289017341)	(35, 38.9935260115607)	(40, 38.76098265895954)	(45, 38.40109826589595)	(50, 38.323757225433525)	(55, 37.907572254335264)	(60, 37.31913294797688)	(65, 36.606358381502886)	(70, 35.886358381502895)	(75, 35.09369942196532)	(80, 35.05173410404625)	(85, 33.82849710982659)	(90, 32.580924855491325)	(95, 30.36942196531792)	(100, 29.26161849710983)	(105, 26.039768786127173)	(110, 23.94404624277457)	(115, 21.756589595375726)	(120, 19.03294797687861)	(125, 16.8421387283237)	(130, 13.532023121387283)	(135, 8.381445086705202)	(140, 5.45699421965318)	(145, 4.45179190751445)	(150, 4.268400770712909)
L5S155	(1, 38.428342031312724)	(2, 38.96467282215978)	(3, 39.1063829787234)	(4, 39.04897631473304)	(5, 39.098354074668805)	(6, 39.254516258530714)	(7, 39.045363307908474)	(8, 39.18466479325572)	(9, 38.90124448012846)	(10, 38.70196708149338)	(15, 39.33079084704938)	(20, 39.04640706543557)	(25, 38.88342031312726)	(30, 39.18562826174227)	(35, 39.13111200321156)	(40, 38.888639100762745)	(45, 38.61605780810919)	(50, 38.654516258530705)	(55, 38.170293054998)	(60, 37.4158972300281)	(65, 36.88141308711361)	(70, 36.1016459253312)	(75, 34.87025291047772)	(80, 34.68767563227619)	(85, 33.843115214773185)	(90, 32.57703733440385)	(95, 31.11320754716981)	(100, 30.81284624648735)	(105, 28.197751906864717)	(110, 26.844480128462465)	(115, 24.094179044560416)	(120, 21.581854676836613)	(125, 19.91465274989964)	(130, 16.227217984745085)	(135, 10.175431553592935)	(140, 6.5044560417503)	(145, 5.119871537535126)	(150, 5.246353539408537)
L5S174	(1, 38.29083094555874)	(2, 38.9269340974212)	(3, 39.03510028653295)	(4, 38.884670487106014)	(5, 39.01719197707737)	(6, 39.175143266475644)	(7, 38.61174785100287)	(8, 39.13073065902579)	(9, 38.82736389684814)	(10, 38.386962750716336)	(15, 39.21583094555874)	(20, 38.83495702005731)	(25, 38.611246418338105)	(30, 39.05852435530086)	(35, 38.82492836676218)	(40, 38.738896848137536)	(45, 38.3102435530086)	(50, 38.35630372492837)	(55, 37.52607449856733)	(60, 36.82600286532951)	(65, 36.177793696275074)	(70, 35.81110315186247)	(75, 35.15723495702006)	(80, 34.89340974212034)	(85, 34.227865329512895)	(90, 32.519699140401144)	(95, 31.28710601719198)	(100, 30.794699140401143)	(105, 28.010386819484246)	(110, 25.8519340974212)	(115, 23.600143266475648)	(120, 20.622707736389682)	(125, 18.43603151862464)	(130, 14.054656160458453)	(135, 9.100787965616046)	(140, 5.614541547277936)	(145, 4.352650429799427)	(150, 4.238299904489016)
L5S203	(1, 38.501481725386896)	(2, 39.05630556470201)	(3, 39.20250246954231)	(4, 39.0006585446164)	(5, 39.1455383602239)	(6, 39.26012512347712)	(7, 38.94632861376358)	(8, 39.196575567994735)	(9, 38.81527823510043)	(10, 38.631346723740535)	(15, 39.30161343431017)	(20, 39.00250246954231)	(25, 38.86440566348371)	(30, 39.137635824827136)	(35, 39.07026671056964)	(40, 38.81350016463615)	(45, 38.461705630556466)	(50, 38.54079683898584)	(55, 38.06592031610141)	(60, 37.18900230490616)	(65, 36.71702337833388)	(70, 36.16463615409943)	(75, 35.160750740862696)	(80, 35.05360553177478)	(85, 33.93203819558776)	(90, 32.631346723740535)	(95, 30.91801119525848)	(100, 30.449983536384593)	(105, 27.611195258478762)	(110, 26.180309515969707)	(115, 23.463878827790587)	(120, 20.918867303259795)	(125, 19.149094501152454)	(130, 15.74738228514982)	(135, 10.392163319064867)	(140, 6.744418834376029)	(145, 5.439776094830424)	(150, 5.417956316540445)
L5S222	(1, 38.34542772861357)	(2, 39.034218289085544)	(3, 39.18967551622419)	(4, 38.89823008849557)	(5, 39.12271386430678)	(6, 39.26401179941003)	(7, 38.783480825958705)	(8, 39.130973451327435)	(9, 38.8306784660767)	(10, 38.565427728613564)	(15, 39.299115044247785)	(20, 38.93610619469026)	(25, 38.77710914454278)	(30, 39.11581120943953)	(35, 39.00448377581121)	(40, 38.863008849557524)	(45, 38.45073746312685)	(50, 38.3670796460177)	(55, 38.08106194690266)	(60, 37.47345132743363)	(65, 36.89398230088496)	(70, 36.39486725663717)	(75, 35.7482005899705)	(80, 35.505132743362836)	(85, 34.68300884955752)	(90, 33.65823008849558)	(95, 32.356637168141596)	(100, 31.860353982300886)	(105, 29.21457227138643)	(110, 27.744070796460175)	(115, 25.419410029498525)	(120, 22.799764011799407)	(125, 20.889852507374634)	(130, 16.912330383480825)	(135, 11.55976401179941)	(140, 7.7529793510324465)	(145, 6.104483775811209)	(150, 5.5944936086529005)
L5S240	(1, 38.41050656660413)	(2, 39.066041275797375)	(3, 39.19887429643527)	(4, 38.99662288930582)	(5, 39.120825515947466)	(6, 39.252908067542215)	(7, 38.96172607879925)	(8, 39.16848030018762)	(9, 38.691932457786116)	(10, 38.59954971857411)	(15, 39.27076923076923)	(20, 39.0246904315197)	(25, 38.876247654784244)	(30, 39.189568480300196)	(35, 39.1565478424015)	(40, 38.89545966228893)	(45, 38.56720450281426)	(50, 38.690431519699814)	(55, 38.31962476547842)	(60, 37.72375234521576)	(65, 37.171857410881806)	(70, 36.44953095684803)	(75, 35.65305816135084)	(80, 35.55519699812383)	(85, 34.44367729831144)	(90, 33.347091932457786)	(95, 31.702213883677302)	(100, 31.716848030018763)	(105, 29.30994371482176)	(110, 27.755797373358348)	(115, 23.711819887429645)	(120, 20.61358348968105)	(125, 19.365103189493432)	(130, 15.941913696060036)	(135, 10.212983114446528)	(140, 6.873020637898686)	(145, 5.567654784240149)	(150, 5.543839899937461)
L6S20	(1, 39.09872122762148)	(2, 39.28317135549872)	(3, 39.37820971867008)	(4, 39.35212276214834)	(5, 39.29227621483376)	(6, 39.41554987212276)	(7, 39.25309462915601)	(8, 39.46925831202046)	(9, 38.916317135549875)	(10, 38.74893094629156)	(15, 39.38121739130435)	(20, 39.12280306905372)	(25, 38.85806649616369)	(30, 39.22749872122762)	(35, 39.10657800511508)	(40, 38.864020460358056)	(45, 38.579089514066496)	(50, 38.540726342711)	(55, 38.259273657289)	(60, 37.687324808184144)	(65, 37.11073145780051)	(70, 36.471202046035806)	(75, 35.12611764705882)	(80, 34.937125319693095)	(85, 34.32386700767263)	(90, 33.27533503836317)	(95, 31.386209718670074)	(100, 31.017452685421993)	(105, 28.35367774936061)	(110, 27.296184143222508)	(115, 24.0413094629156)	(120, 21.31858823529412)	(125, 20.118097186700766)	(130, 16.4259641943734)	(135, 11.010005115089513)	(140, 7.374751918158568)	(145, 5.785309462915601)	(150, 5.840136402387041)
L6S68	(1, 38.963470797571695)	(2, 39.13167259786477)	(3, 39.20975507640779)	(4, 39.358488591166)	(5, 39.238015490893865)	(6, 39.32426208917731)	(7, 39.21059242202219)	(8, 39.40694996859954)	(9, 38.6064475612309)	(10, 38.62846975088968)	(15, 39.34567720326565)	(20, 39.043541971948926)	(25, 38.834687042076624)	(30, 39.108457190705465)	(35, 38.92442955830019)	(40, 38.688612099644125)	(45, 38.341029935105716)	(50, 38.166820180029305)	(55, 37.6858488591166)	(60, 37.010906426627585)	(65, 36.4267322587398)	(70, 35.589072639732045)	(75, 34.41622357127905)	(80, 34.17157211639104)	(85, 33.33167259786477)	(90, 32.03282394808457)	(95, 29.922210592422026)	(100, 29.50546368013398)	(105, 27.129223361942643)	(110, 25.65943060498221)	(115, 21.88182960016747)	(120, 18.75413439397111)	(125, 17.27839648314842)	(130, 13.70337031609797)	(135, 8.769101946828552)	(140, 5.719782290140255)	(145, 4.539062172911869)	(150, 4.43576861349522)
L6S93	(1, 39.01561668145519)	(2, 39.15013309671695)	(3, 39.23487133984028)	(4, 39.328837622005324)	(5, 39.19946761313221)	(6, 39.322715173025735)	(7, 38.903904170363795)	(8, 39.38917480035492)	(9, 38.714729370008875)	(10, 38.28125998225377)	(15, 39.16550133096717)	(20, 38.89888198757764)	(25, 38.524986690328305)	(30, 38.921614906832296)	(35, 38.64560780834073)	(40, 38.57939662821651)	(45, 38.003762200532385)	(50, 37.85329192546584)	(55, 37.247417923691216)	(60, 36.50489795918368)	(65, 35.82030168589175)	(70, 35.32141969831411)	(75, 34.38376220053239)	(80, 33.790097604259095)	(85, 33.239982253771075)	(90, 31.799201419698313)	(95, 30.065607808340722)	(100, 29.603407275953863)	(105, 27.135811889973382)	(110, 25.12402839396628)	(115, 22.008393966282163)	(120, 19.046441881100268)	(125, 17.09868677905945)	(130, 13.129795918367346)	(135, 8.429707187222714)	(140, 5.185572315882875)	(145, 4.228748890860692)	(150, 4.0513753327417925)
