Df	SumOfSqs	R2	F	Pr(>F)
body_site	3	4.57786124160836	0.345534785571648	5.27965089593736	0.001
Residual	30	8.67076504079271	0.654465214428351	NA	NA
Total	33	13.2486262824011	1	NA	NA
