Group 1,Group 2,H,p-value,q-value
gut (n=8),left palm (n=8),5.338235294117652,0.020862582332765417,0.062764006013382
gut (n=8),right palm (n=9),5.333333333333336,0.020921335337794,0.062764006013382
gut (n=8),tongue (n=9),0.3333333333333357,0.5637028616507718,0.6764434339809261
left palm (n=8),right palm (n=9),0.0,1.0,1.0
left palm (n=8),tongue (n=9),3.7037037037037024,0.0542918283668548,0.0864460865921532
right palm (n=9),tongue (n=9),3.604288499025337,0.0576307243947688,0.0864460865921532
