Group 1,Group 2,H,p-value,q-value
gut (n=8),left palm (n=8),10.599264705882355,0.0011313264268228347,0.003393979280468504
gut (n=8),right palm (n=9),4.481481481481481,0.03426400773486915,0.05696580533329112
gut (n=8),tongue (n=9),0.037037037037030984,0.8473896596867266,0.8473896596867266
left palm (n=8),right palm (n=9),1.3333333333333357,0.24821307898991984,0.2978556947879038
left palm (n=8),tongue (n=9),11.342592592592595,0.0007574950058146062,0.003393979280468504
right palm (n=9),tongue (n=9),4.306042884990248,0.03797720355552741,0.05696580533329112
