Df	SumOfSqs	R2	F	Pr(>F)
body_site	3	3.20299010111581	0.554837338042754	12.4636989006064	0.001
Residual	30	2.56985516631823	0.445162661957246	NA	NA
Total	33	5.77284526743404	1	NA	NA
